id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, County, 0.616582
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Black-and-white films, 0.581958
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Northeastern United States, 0.581448
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Milan, 0.556246
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Major League Baseball, 0.546663
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, National Hockey League, 0.540332
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, 2009 albums, 0.507846
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Connecticut, 0.505927
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, New York metropolitan area, 0.504491
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Time, 0.494507
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Town, 0.492644
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Vermont, 0.485137
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Manhattan, 0.481102
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Long Island Rail Road, 0.477386
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, New England, 0.467355
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, 2005 albums, 0.458612
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Future, 0.449747
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Toronto, 0.44822
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, New Amsterdam, 0.446028
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, City of London, 0.436517
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Water tower, 0.436494
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Broadway theatre, 0.432676
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Hudson River, 0.427247
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, London, 0.422696
