id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 mwGWiYzC-T_j3KIWSCYG8bRbzitvElT9Ao4v5CJoCBd0ojN_YK2dWDpS7JKQLQAi, South Africa, 1, Relieved Stanley Menzo heaps praise on Ajax Cape Town duo Bantu Mzwakali and Tashreeq Morris, ZA, 2017-10-24T11:45:48Z, zobo.co.za, -0.725904, Netherlands, 0.722956
 mwGWiYzC-T_j3KIWSCYG8bRbzitvElT9Ao4v5CJoCBd0ojN_YK2dWDpS7JKQLQAi, South Africa, 1, Relieved Stanley Menzo heaps praise on Ajax Cape Town duo Bantu Mzwakali and Tashreeq Morris, ZA, 2017-10-24T11:45:48Z, zobo.co.za, -0.725904, PSV Eindhoven, 0.620328
 mwGWiYzC-T_j3KIWSCYG8bRbzitvElT9Ao4v5CJoCBd0ojN_YK2dWDpS7JKQLQAi, South Africa, 1, Relieved Stanley Menzo heaps praise on Ajax Cape Town duo Bantu Mzwakali and Tashreeq Morris, ZA, 2017-10-24T11:45:48Z, zobo.co.za, -0.725904, AGOVV Apeldoorn, 0.614133
 mwGWiYzC-T_j3KIWSCYG8bRbzitvElT9Ao4v5CJoCBd0ojN_YK2dWDpS7JKQLQAi, South Africa, 1, Relieved Stanley Menzo heaps praise on Ajax Cape Town duo Bantu Mzwakali and Tashreeq Morris, ZA, 2017-10-24T11:45:48Z, zobo.co.za, -0.725904, Boer, 0.608242
 mwGWiYzC-T_j3KIWSCYG8bRbzitvElT9Ao4v5CJoCBd0ojN_YK2dWDpS7JKQLQAi, South Africa, 1, Relieved Stanley Menzo heaps praise on Ajax Cape Town duo Bantu Mzwakali and Tashreeq Morris, ZA, 2017-10-24T11:45:48Z, zobo.co.za, -0.725904, New York, 0.597054
 OOy3-OjUAUUh8eoWYCkVUIWyG-oFtk81CfPT7lc-4OpfjWZfAdtH9-gQSzGqNcF2, South Africa, 1, Datatec cancels London listing - Moneyweb, ZA, 2017-10-24T11:09:48Z, moneyweb.co.za, 0.172517, Stock market, 0.896094
 OOy3-OjUAUUh8eoWYCkVUIWyG-oFtk81CfPT7lc-4OpfjWZfAdtH9-gQSzGqNcF2, South Africa, 1, Datatec cancels London listing - Moneyweb, ZA, 2017-10-24T11:09:48Z, moneyweb.co.za, 0.172517, Stock exchange, 0.858526
 OOy3-OjUAUUh8eoWYCkVUIWyG-oFtk81CfPT7lc-4OpfjWZfAdtH9-gQSzGqNcF2, South Africa, 1, Datatec cancels London listing - Moneyweb, ZA, 2017-10-24T11:09:48Z, moneyweb.co.za, 0.172517, Economics, 0.857669
 OOy3-OjUAUUh8eoWYCkVUIWyG-oFtk81CfPT7lc-4OpfjWZfAdtH9-gQSzGqNcF2, South Africa, 1, Datatec cancels London listing - Moneyweb, ZA, 2017-10-24T11:09:48Z, moneyweb.co.za, 0.172517, Mailing list, 0.851666
 OOy3-OjUAUUh8eoWYCkVUIWyG-oFtk81CfPT7lc-4OpfjWZfAdtH9-gQSzGqNcF2, South Africa, 1, Datatec cancels London listing - Moneyweb, ZA, 2017-10-24T11:09:48Z, moneyweb.co.za, 0.172517, Trade, 0.812472
 OOy3-OjUAUUh8eoWYCkVUIWyG-oFtk81CfPT7lc-4OpfjWZfAdtH9-gQSzGqNcF2, South Africa, 1, Datatec cancels London listing - Moneyweb, ZA, 2017-10-24T11:09:48Z, moneyweb.co.za, 0.172517, 2003 Cricket World Cup, 0.79704
 OOy3-OjUAUUh8eoWYCkVUIWyG-oFtk81CfPT7lc-4OpfjWZfAdtH9-gQSzGqNcF2, South Africa, 1, Datatec cancels London listing - Moneyweb, ZA, 2017-10-24T11:09:48Z, moneyweb.co.za, 0.172517, South Africa, 0.79337
 OOy3-OjUAUUh8eoWYCkVUIWyG-oFtk81CfPT7lc-4OpfjWZfAdtH9-gQSzGqNcF2, South Africa, 1, Datatec cancels London listing - Moneyweb, ZA, 2017-10-24T11:09:48Z, moneyweb.co.za, 0.172517, Market, 0.790281
 s-LfU8hFSUsqkKm2IVVoQ0bS6y6GEBEjqyNYPz803H2f_02d4K1qDlvZcvMBkpGQ, South Africa, 1, KZN woman guilty of kidnapping  chopping up woman, ZA, 2017-10-24T11:09:48Z, iol.co.za, -0.539001, English-language films, 0.986852
 s-LfU8hFSUsqkKm2IVVoQ0bS6y6GEBEjqyNYPz803H2f_02d4K1qDlvZcvMBkpGQ, South Africa, 1, KZN woman guilty of kidnapping  chopping up woman, ZA, 2017-10-24T11:09:48Z, iol.co.za, -0.539001, KwaZulu-Natal, 0.959724
 s-LfU8hFSUsqkKm2IVVoQ0bS6y6GEBEjqyNYPz803H2f_02d4K1qDlvZcvMBkpGQ, South Africa, 1, KZN woman guilty of kidnapping  chopping up woman, ZA, 2017-10-24T11:09:48Z, iol.co.za, -0.539001, Police, 0.843343
 s-LfU8hFSUsqkKm2IVVoQ0bS6y6GEBEjqyNYPz803H2f_02d4K1qDlvZcvMBkpGQ, South Africa, 1, KZN woman guilty of kidnapping  chopping up woman, ZA, 2017-10-24T11:09:48Z, iol.co.za, -0.539001, Pietermaritzburg, 0.684539
 s-LfU8hFSUsqkKm2IVVoQ0bS6y6GEBEjqyNYPz803H2f_02d4K1qDlvZcvMBkpGQ, South Africa, 1, KZN woman guilty of kidnapping  chopping up woman, ZA, 2017-10-24T11:09:48Z, iol.co.za, -0.539001, Durban, 0.65988
 s-LfU8hFSUsqkKm2IVVoQ0bS6y6GEBEjqyNYPz803H2f_02d4K1qDlvZcvMBkpGQ, South Africa, 1, KZN woman guilty of kidnapping  chopping up woman, ZA, 2017-10-24T11:09:48Z, iol.co.za, -0.539001, Criminal Investigation Department, 0.607447
 s-LfU8hFSUsqkKm2IVVoQ0bS6y6GEBEjqyNYPz803H2f_02d4K1qDlvZcvMBkpGQ, South Africa, 1, KZN woman guilty of kidnapping  chopping up woman, ZA, 2017-10-24T11:09:48Z, iol.co.za, -0.539001, Barbra Streisand, 0.601615
 s-LfU8hFSUsqkKm2IVVoQ0bS6y6GEBEjqyNYPz803H2f_02d4K1qDlvZcvMBkpGQ, South Africa, 1, KZN woman guilty of kidnapping  chopping up woman, ZA, 2017-10-24T11:09:48Z, iol.co.za, -0.539001, South Africa, 0.595012
 s-LfU8hFSUsqkKm2IVVoQ0bS6y6GEBEjqyNYPz803H2f_02d4K1qDlvZcvMBkpGQ, South Africa, 1, KZN woman guilty of kidnapping  chopping up woman, ZA, 2017-10-24T11:09:48Z, iol.co.za, -0.539001, Leo White, 0.55784
 s-LfU8hFSUsqkKm2IVVoQ0bS6y6GEBEjqyNYPz803H2f_02d4K1qDlvZcvMBkpGQ, South Africa, 1, KZN woman guilty of kidnapping  chopping up woman, ZA, 2017-10-24T11:09:48Z, iol.co.za, -0.539001, Provinces of South Africa, 0.550361
 s-LfU8hFSUsqkKm2IVVoQ0bS6y6GEBEjqyNYPz803H2f_02d4K1qDlvZcvMBkpGQ, South Africa, 1, KZN woman guilty of kidnapping  chopping up woman, ZA, 2017-10-24T11:09:48Z, iol.co.za, -0.539001, Jess Robbins, 0.545406
 s-LfU8hFSUsqkKm2IVVoQ0bS6y6GEBEjqyNYPz803H2f_02d4K1qDlvZcvMBkpGQ, South Africa, 1, KZN woman guilty of kidnapping  chopping up woman, ZA, 2017-10-24T11:09:48Z, iol.co.za, -0.539001, Victim, 0.519955
