id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Law, 0.47023
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Constitutional Council of France, 0.468242
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, President of the United States, 0.466988
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Indo-Pakistani War of 1971, 0.463686
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, United States Congress, 0.459713
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, United States, 0.964217
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, New Jersey, 0.881238
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Amazon.com, 0.868296
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, New York City, 0.853524
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Online shopping, 0.758841
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, Portuguese language, 0.629882
 LWKR1iumtwZKxjxrkbJ_MQOLgM7Zy8TVPcw-hVClTpvNFFmuBKEV3Be6nisMTXbc, United States, 1, Amazon Receives 238 proposals For 2nd Headquarters, IN, 2017-10-24T02:12:52Z, newsr.in, -0.303583, North America, 0.612262
